Identifiant station,Nom station,Station en fonctionnement,Capacité de la station,Nombre bornettes libres,Nombre total vélos disponibles,Vélos mécaniques disponibles,Vélos électriques disponibles,Borne de paiement disponible,Retour vélib possible,Actualisation de la donnée,Coordonnées géographiques,Nom communes équipées,ville,tmp,wnd_spd,wnd_gust,wnd_dir,pressure,humidity,condition,Correction
12028,Vivaldi - Antoine-Julien Hénard,OUI,27,19,7,3,4,OUI,OUI,2022-09-29 04:42:21,"48.841923663276546,2.389728979467376",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
20132,Réunion - Avron,OUI,26,3,22,7,15,OUI,OUI,2022-09-29 04:42:21,"48.852566752033766,2.403928068708116",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
13035,Choisy - Tolbiac,OUI,26,12,13,2,11,OUI,OUI,2022-09-29 04:42:21,"48.82591155587,2.3602393269539",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
19032,Villette - Belleville,OUI,48,30,13,5,8,OUI,OUI,2022-09-29 04:42:21,"48.8726877314,2.376461327076",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
13516,Glacière - Soeur Catherine Marie,OUI,40,12,28,18,10,OUI,OUI,2022-09-29 04:42:21,"48.829522989420596,2.343570403754711",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
15052,Convention - Vaugirard,OUI,48,5,43,39,4,OUI,OUI,2022-09-29 04:42:21,"48.83767682233156,2.295586926020252",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
13515,Auguste Blanqui - Glacière,OUI,60,35,23,21,2,OUI,OUI,2022-09-29 04:42:21,"48.831151602964354,2.3438221961259837",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
18031,Place Albert Kahn,OUI,46,15,28,15,13,OUI,OUI,2022-09-29 04:42:20,"48.8957969797804,2.345585584134864",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
6016,Danton - Serpente,OUI,22,20,2,1,1,OUI,OUI,2022-09-29 04:42:20,"48.85229736258167,2.3414132371544834",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
19026,Place de Rhin et Danube,OUI,17,8,9,0,9,OUI,OUI,2022-09-29 04:42:20,"48.88192765861766,2.392586767673493",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
15104,Hôpital Européen Georges Pompidou,OUI,64,59,4,2,2,OUI,OUI,2022-09-29 04:42:19,"48.83769531916335,2.275374233722687",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
15047,Morillons - Dantzig,OUI,52,15,36,14,22,OUI,OUI,2022-09-29 04:42:19,"48.83310149953933,2.299380004405976",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
20007,Buzenval - Avron,OUI,50,33,16,14,2,OUI,OUI,2022-09-29 04:42:18,"48.851617204998654,2.401513597307666",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
